College ID,College Name,Branch ID,Branch Name,Status,Is State Level,Seat Type,Category,Cutoff Merit No,Score / Percentile,Year,Stage,Category_Group,Seat_Level
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,PWDOPENS,100795.0,29.3528763,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,DEFOPENS,30393.0,83.4474115,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,TFWS,11631.0,93.7141189,2022,II,TFWS,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,PWDROBC S,104414.0,25.8381109,2022,II,OTHER,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,DEFROBCS,41669.0,77.0666918,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,EWS,16352.0,91.1864731,2022,II,EWS,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,GOPENS,49414.0,72.5765063,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,GSCS,65659.0,61.4673542,2022,II,SC,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,GSTS,112169.0,16.5730741,2022,II,ST,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,GNT2S,74875.0,54.1664697,2022,II,NT2,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,GOBCS,52428.0,70.7220669,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,LOPENS,46383.0,74.2012741,2022,II,OPEN,Home_University
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,LSCS,64077.0,62.3799839,2022,II,SC,Home_University
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,LOBCS,48202.0,72.8974176,2022,II,OBC,Home_University
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,DEFOPENS,113852.0,14.2210761,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,TFWS,30615.0,83.3246679,2022,II,TFWS,State
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,Government Autonomous,1,State Level,EWS,51690.0,70.9370842,2022,II,EWS,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GOPENS,34421.0,81.4005843,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GSCS,42806.0,76.4889836,2022,II,SC,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GSTS,109621.0,19.499854,2022,II,ST,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GVJS,48115.0,72.8974176,2022,II,VJ,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GNT1S,47757.0,73.2440997,2022,II,NT1,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GNT2S,43267.0,75.8471965,2022,II,NT2,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GNT3S,63985.0,62.3799839,2022,II,NT3,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,GOBCS,39664.0,78.2814198,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LOPENS,40195.0,78.0555027,2022,II,OPEN,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LSCS,61058.0,64.4979119,2022,II,SC,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LSTS,97556.0,33.083064,2022,II,ST,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LNT1S,81559.0,48.7700838,2022,II,NT1,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LNT2S,54000.0,69.3871747,2022,II,NT2,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,LOBCS,42993.0,76.4889836,2022,II,OBC,Home_University
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,DEFOPENS,64866.0,61.8814494,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,TFWS,21335.0,88.4908068,2022,II,TFWS,State
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,Government Autonomous,1,State Level,EWS,49115.0,72.6414198,2022,II,EWS,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,GOPENH,56459.0,67.7143135,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,GSCH,89272.0,42.0206383,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,GVJH,64230.0,62.0823842,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,GNT1H,100270.0,30.5619889,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,GOBCH,56723.0,67.4824177,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,LOPENH,24039.0,87.0274997,2022,II,OTHER,Home_University
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University,LOBCH,46268.0,74.2260244,2022,II,OTHER,Home_University
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University to Other,GOPENO,41991.0,76.9900203,2022,II,OTHER,State
